s,d,grn,exp
1,96,0,0.5308642387390137
1,98,1,0.16086243093013763
2,2,0,0.009399659931659698
3,3,0,0.009224645793437958
3,5,0,0.04911516234278679
3,11,0,0.20932944118976593
3,13,0,0.12496201694011688
3,15,0,0.047273438423871994
3,18,0,0.06951843947172165
3,31,0,0.046705909073352814
3,32,0,0.012929122895002365
3,42,0,0.14561451971530914
3,59,0,0.0587066225707531
4,4,0,0.00923781655728817
4,7,0,0.4905235469341278
4,13,0,0.29442086815834045
4,29,0,0.21602165699005127
4,35,0,0.5093421339988708
4,96,0,0.4525776505470276
5,3,0,0.16738127171993256
5,5,0,0.009324413724243641
5,11,0,0.468861848115921
5,15,0,0.06981175392866135
5,31,0,0.17672234773635864
5,32,0,0.18023577332496643
5,59,0,0.07396289706230164
5,65,0,0.29795214533805847
6,6,0,0.009251665323972702
6,10,0,0.45920711755752563
6,14,1,0.7590243816375732
7,1,1,0.9858167171478271
7,4,0,0.35021689534187317
7,7,0,0.009251665323972702
7,11,0,0.2249758243560791
7,13,0,0.9899561405181885
7,21,0,0.212973952293396
7,29,0,0.08133844286203384
7,35,0,0.9893425703048706
7,91,0,0.9830536246299744
7,96,0,0.33562329411506653
8,8,0,0.009255788289010525
8,10,0,0.38311633467674255
8,48,0,0.2617611885070801
8,90,0,0.41855162382125854
8,96,0,0.3345954418182373
9,9,0,0.009210609830915928
10,6,0,0.427615225315094
10,8,0,0.39323562383651733
10,10,0,0.009229502640664577
10,13,0,0.3354126811027527
10,48,0,0.16260263323783875
10,76,0,0.43841633200645447
10,90,0,0.38961321115493774
11,3,0,0.028006859123706818
11,5,0,0.10115688294172287
11,7,0,0.40617063641548157
11,11,0,0.009241513907909393
11,13,0,0.23051384091377258
11,15,0,0.09787736088037491
11,20,0,0.947134256362915
11,31,0,0.04757623374462128
11,32,0,0.03063986264169216
11,34,0,0.12713535130023956
11,73,0,0.08404690772294998
11,81,0,0.3070499300956726
11,96,0,0.33291634917259216
12,12,0,0.009261815808713436
12,15,0,0.21301056444644928
13,3,0,0.014948813244700432
13,4,0,0.31995341181755066
13,7,0,0.25749626755714417
13,10,0,0.21143437922000885
13,11,0,0.2199358195066452
13,13,0,0.009267842397093773
13,14,1,0.11713027954101562
13,15,0,0.05484594777226448
13,21,0,0.14166483283042908
13,32,0,0.0150302704423666
13,39,0,0.9898070693016052
13,48,0,0.11550040543079376
13,96,0,0.21511881053447723
14,0,1,0.44166406989097595
14,2,1,0.21388587355613708
14,3,1,0.06971873342990875
14,4,1,0.3630080223083496
14,5,1,0.17151685059070587
14,6,1,0.3098948299884796
14,7,1,0.4517814815044403
14,8,1,0.3423784077167511
14,9,1,0.3593786358833313
14,10,1,0.4149065911769867
14,11,1,0.3421492874622345
14,12,1,0.32830575108528137
14,13,1,0.33354443311691284
14,14,0,0.009420831687748432
14,15,1,0.10354464501142502
14,16,1,0.24045529961585999
14,18,1,0.16916008293628693
14,19,1,0.5192365646362305
14,20,1,0.9896479249000549
14,21,1,0.16939055919647217
14,22,1,0.24304357171058655
14,23,1,0.3522298038005829
14,24,1,0.17686019837856293
14,25,1,0.2808733284473419
14,26,1,0.32648715376853943
14,27,1,0.1113995611667633
14,28,1,0.09574268758296967
14,29,1,0.2431669533252716
14,30,1,0.4594815671443939
14,31,1,0.08517878502607346
14,32,1,0.07198752462863922
14,33,1,0.2051360309123993
14,34,1,0.16109809279441833
14,35,1,0.44709816575050354
14,36,1,0.21579447388648987
14,37,1,0.26015499234199524
14,38,1,0.3050132095813751
14,39,1,0.5717296004295349
14,40,1,0.23510198295116425
14,41,1,0.4371546506881714
14,42,1,0.43384337425231934
14,43,1,0.3221733570098877
14,45,1,0.2618922293186188
14,46,1,0.21979181468486786
14,47,1,0.261863648891449
14,48,1,0.29000571370124817
14,49,1,0.42227715253829956
14,50,1,0.2713053822517395
14,51,1,0.4164133071899414
14,52,1,0.1465359628200531
14,53,1,0.12485648691654205
14,54,1,0.12193285673856735
14,55,1,0.05700399726629257
14,57,1,0.4168660342693329
14,58,1,0.4441618323326111
14,59,1,0.1820734143257141
14,60,1,0.31703320145606995
14,61,1,0.061527665704488754
14,63,1,0.08602538704872131
14,64,1,0.25647005438804626
14,65,1,0.17170403897762299
14,66,1,0.18978476524353027
14,68,1,0.07807163149118423
14,69,1,0.9787915945053101
14,70,1,0.388620525598526
14,71,1,0.1759537309408188
14,72,1,0.4765065014362335
14,73,1,0.15729764103889465
14,77,1,0.10075933486223221
14,78,0,0.4741019308567047
14,80,1,0.1405789852142334
14,81,1,0.33530542254447937
14,86,1,0.4028978943824768
14,88,1,0.2329985648393631
14,89,1,0.27514559030532837
14,91,1,0.5470783114433289
14,92,1,0.2545473873615265
14,98,1,0.06732971966266632
15,3,0,0.021704809740185738
15,5,0,0.1282285749912262
15,11,0,0.20682364702224731
15,12,0,0.15130938589572906
15,13,0,0.2746744453907013
15,14,1,0.12343423068523407
