s,d,grn,exp
5,32,0,0.0087739247828722
5,59,0,0.00919456034898758
5,65,0,0.009242095984518528
6,6,0,0.008351759985089302
6,10,0,0.015698876231908798
6,14,1,0.04384482651948929
7,1,1,0.01821797713637352
7,4,0,0.011361015029251575
7,7,0,0.008349478244781494
7,11,0,0.009070669300854206
7,13,0,0.009338084608316422
7,21,0,0.011381059885025024
7,29,0,0.008463733829557896
7,35,0,0.0137663958594203
7,91,0,0.011118206195533276
7,96,0,0.009344331920146942
8,8,0,0.008340739645063877
8,10,0,0.012843088246881962
8,48,0,0.01588130183517933
8,90,0,0.011307129636406898
8,96,0,0.009467361494898796
9,9,0,0.008341735228896141
10,6,0,0.010058277286589146
10,8,0,0.013471391052007675
10,10,0,0.00834655575454235
10,13,0,0.009268057532608509
10,48,0,0.01633140631020069
10,76,0,0.012263035401701927
10,90,0,0.010089016519486904
11,3,0,0.0086361700668931
11,5,0,0.008625505492091179
11,7,0,0.009586930274963379
11,11,0,0.008345511741936207
11,13,0,0.00897457730025053
11,15,0,0.00855429656803608
11,20,0,0.012293430045247078
11,31,0,0.008341233246028423
11,32,0,0.00863333884626627
11,34,0,0.01073563564568758
11,73,0,0.008490955457091331
11,81,0,0.009681337513029575
11,96,0,0.00905104074627161
12,12,0,0.008334923535585403
12,15,0,0.008361006155610085
13,3,0,0.008622790686786175
13,4,0,0.011208875104784966
13,7,0,0.009103236719965935
13,10,0,0.012956739403307438
13,11,0,0.008588302880525589
13,13,0,0.00835380144417286
13,14,1,0.021486766636371613
13,15,0,0.0084023866802454
13,21,0,0.01075655221939087
13,32,0,0.008634760044515133
13,39,0,0.04107166826725006
13,48,0,0.014292466454207897
13,96,0,0.008658548817038536
14,0,1,0.014781631529331207
14,2,1,0.04214147478342056
14,3,1,0.00865971576422453
14,4,1,0.017345769330859184
14,5,1,0.009317747317254543
14,6,1,0.010041553527116776
14,7,1,0.010466145351529121
14,8,1,0.018535487353801727
14,9,1,0.021796079352498055
14,10,1,0.023803720250725746
14,11,1,0.008956772275269032
14,12,1,0.021917590871453285
14,13,1,0.009400746785104275
14,14,0,0.00834477785974741
14,15,1,0.009448029100894928
14,16,1,0.04222804680466652
14,18,1,0.02137056365609169
14,19,1,0.031640782952308655
14,20,1,0.017433619126677513
14,21,1,0.013254575431346893
14,22,1,0.04146981239318848
14,23,1,0.011403791606426239
14,24,1,0.033269453793764114
14,25,1,0.04309537634253502
14,26,1,0.024342555552721024
14,27,1,0.008627726696431637
14,28,1,0.009024273604154587
14,29,1,0.009553316980600357
14,30,1,0.031666308641433716
14,31,1,0.008438562043011189
14,32,1,0.0086755882948637
14,33,1,0.04031016677618027
14,34,1,0.012035959400236607
14,35,1,0.02177302911877632
14,36,1,0.041391439735889435
14,37,1,0.018937496468424797
14,38,1,0.041978638619184494
14,39,1,0.06100401282310486
14,40,1,0.01018620003014803
14,41,1,0.021533923223614693
14,42,1,0.02128300443291664
14,43,1,0.01654977723956108
14,45,1,0.042543429881334305
14,46,1,0.041475944221019745
14,47,1,0.009053646586835384
14,48,1,0.023968255147337914
14,49,1,0.016539840027689934
14,50,1,0.019109750166535378
14,51,1,0.017595432698726654
14,52,1,0.018078764900565147
14,53,1,0.01537372451275587
14,54,1,0.015822963789105415
14,55,1,0.01628645695745945
14,57,1,0.049879856407642365
14,58,1,0.011882102116942406
14,59,1,0.013978053815662861
14,60,1,0.02584473416209221
14,61,1,0.014883226715028286
14,63,1,0.010704319924116135
14,64,1,0.019183682277798653
14,65,1,0.008832507766783237
14,66,1,0.011787373572587967
14,68,1,0.009437314234673977
14,69,1,0.04311612620949745
14,70,1,0.016688961535692215
14,71,1,0.016628319397568703
14,72,1,0.010837197303771973
14,73,1,0.009128390811383724
14,77,1,0.01075628213584423
14,78,0,0.01093770656734705
14,80,1,0.009754881262779236
14,81,1,0.013353036716580391
14,86,1,0.011534367688000202
14,88,1,0.017149969935417175
14,89,1,0.010932719334959984
14,91,1,0.009831941686570644
14,92,1,0.04112124443054199
14,98,1,0.014632616192102432
15,3,0,0.008642704226076603
15,5,0,0.008528166450560093
15,11,0,0.00852694921195507
15,12,0,0.01386208739131689
15,13,0,0.008762134239077568
15,14,1,0.021993476897478104
15,15,0,0.008352333679795265
15,31,0,0.008302239701151848
15,32,0,0.00864589586853981
15,42,0,0.013068054802715778
15,59,0,0.009791912510991096
15,81,0,0.009113661013543606
16,16,0,0.008347909897565842
17,1,1,0.03262921795248985
17,14,1,0.056427404284477234
18,3,0,0.009170759469270706
18,18,0,0.008344760164618492
18,32,0,0.00913701020181179
19,19,0,0.008338111452758312
19,30,0,0.019063586369156837
19,91,0,0.0107179069891572
20,11,0,0.010014763101935387
20,20,0,0.008342809043824673
20,91,0,0.01276226993650198
20,96,0,0.011191575787961483
21,1,1,0.018514404073357582
21,7,0,0.009400073438882828
21,13,0,0.009408530779182911
21,21,0,0.008348346687853336
21,42,0,0.013000586070120335
21,48,0,0.01505893561989069
21,66,0,0.011143947951495647
21,90,0,0.009605060331523418
